SampleId;MotionId;OriginalMotionType;StartTime;EndTime;Duration
346;1;SMASH_WITH_EFFECT;35749;37179;1430
346;2;SMASH_WITH_EFFECT;41000;42460;1460
346;3;FOREHAND_FLAT;49210;50930;1720
346;4;BACKHAND_SLICED;52701;54271;1570
346;5;FOREHAND_LIFTED;56291;57971;1680
346;6;BACKHAND_FLAT;60681;62162;1481
346;7;FOREHAND_SLICED;64712;66192;1480
346;8;BACKHAND_SLICED;68942;70362;1420
346;9;FOREHAND_LIFTED;72442;74023;1581
346;10;BACKHAND_FLAT;76993;78393;1400
346;11;FOREHAND_LIFTED;80393;82174;1781
346;12;BACKHAND_FLAT;84914;86324;1410
346;13;VOLLEY_FOREHAND;87694;89524;1830
346;14;VOLLEY_BACKHAND;91544;92575;1031
346;15;VOLLEY_FOREHAND;94755;95765;1010
346;16;VOLLEY_BACKHAND;98405;99255;850
346;17;VOLLEY_FOREHAND;102045;103066;1021
346;18;VOLLEY_BACKHAND;105596;106536;940
