SampleId;MotionId;OriginalMotionType;StartTime;EndTime;Duration
548;1;FOREHAND_FLAT;63657;65226;1569
548;2;FOREHAND_FLAT;68493;70361;1868
548;3;FOREHAND_FLAT;73818;75716;1898
548;4;FOREHAND_FLAT;79432;81160;1728
548;5;FOREHAND_FLAT;84797;86525;1728
548;6;FOREHAND_SLICED;103179;105217;2038
548;7;FOREHAND_SLICED;108284;110112;1828
548;8;FOREHAND_SLICED;113629;115507;1878
548;9;FOREHAND_SLICED;119204;121002;1798
548;10;FOREHAND_SLICED;124339;126147;1808
548;11;FOREHAND_LIFTED;141212;143141;1929
548;12;FOREHAND_LIFTED;146607;148396;1789
548;13;FOREHAND_LIFTED;151982;153651;1669
548;14;FOREHAND_LIFTED;156997;158806;1809
548;15;FOREHAND_LIFTED;162202;163911;1709
548;16;BACKHAND_FLAT;174800;176049;1249
548;17;BACKHAND_FLAT;179476;181384;1908
548;18;BACKHAND_FLAT;184581;186549;1968
548;19;BACKHAND_FLAT;190006;191824;1818
548;20;BACKHAND_FLAT;195171;196889;1718
548;21;BACKHAND_SLICED;205291;207169;1878
548;22;BACKHAND_SLICED;210476;212225;1749
548;23;BACKHAND_SLICED;215392;217180;1788
548;24;BACKHAND_SLICED;220307;222075;1768
548;25;BACKHAND_SLICED;225053;226991;1938
548;26;BACKHAND_LIFTED;238660;239649;989
548;27;BACKHAND_LIFTED;243265;244634;1369
548;28;BACKHAND_LIFTED;248400;249969;1569
548;29;BACKHAND_LIFTED;253206;254744;1538
548;30;BACKHAND_LIFTED;258531;260189;1658
