SampleId;MotionId;OriginalMotionType;StartTime;EndTime;Duration;;
406;1;FOREHAND_FLAT;18044;19995;1951;
406;2;FOREHAND_FLAT;23068;24989;1921;
406;3;FOREHAND_FLAT;28491;30323;1832;
406;4;FOREHAND_FLAT;33385;35236;1851;
406;5;FOREHAND_FLAT;38429;40210;1781;
406;6;FOREHAND_FLAT;43152;45004;1852;
406;7;FOREHAND_FLAT;47595;49627;2032;
406;8;FOREHAND_FLAT;52850;54691;1841;
406;9;FOREHAND_FLAT;58344;60035;1691;
406;10;FOREHAND_FLAT;62997;64798;1801;
406;11;FOREHAND_SLICED;67761;69532;1771;
406;12;FOREHAND_SLICED;72454;74266;1812;
406;13;FOREHAND_SLICED;77628;79370;1742;
406;14;FOREHAND_SLICED;82452;84324;1872;
406;15;FOREHAND_SLICED;87326;89337;2011;
406;16;FOREHAND_SLICED;92600;94061;1461;
406;17;FOREHAND_SLICED;97384;99275;1891;
406;18;FOREHAND_SLICED;102638;104449;1811;
406;19;FOREHAND_SLICED;107551;109323;1772;
406;20;FOREHAND_SLICED;112515;113896;1381;
406;21;FOREHAND_LIFTED;117529;119331;1802;
406;22;FOREHAND_LIFTED;122353;124235;1882;
406;23;FOREHAND_LIFTED;126857;128848;1991;
406;24;FOREHAND_LIFTED;131981;133782;1801;
406;25;FOREHAND_LIFTED;136944;138836;1892;
406;26;FOREHAND_LIFTED;141598;143580;1982;
406;27;FOREHAND_LIFTED;146942;148884;1942;
406;28;FOREHAND_LIFTED;151476;153648;2172;
406;29;FOREHAND_LIFTED;156820;158662;1842;
406;30;FOREHAND_LIFTED;161404;163355;1951;
